Task,TapTime,Milliseconds
avj,11:04:44.390,982
avj,11:04:49.256,323
avj,11:04:53.990,264
avj,11:04:57.722,349
avj,11:05:02.106,133
avj,11:05:05.472,299
avj,11:05:09.322,283
avj,11:05:12.005,366
avj,11:05:14.989,283
avj,11:05:18.971,303
avj,11:05:22.838,0
avj,11:05:26.887,316
avj,11:05:29.970,399
avj,11:05:32.937,366
avj,11:05:37.386,283
avj,11:05:40.069,366
avj,11:05:43.153,316
avj,11:05:46.619,297
avj,11:05:50.352,307
avj,11:05:53.502,266
avj,11:05:56.185,349
avj,11:05:58.868,280
avj,11:06:03.151,49
avj,11:06:07.567,266
avj,11:06:10.834,333
avj,11:06:14.150,382
avj,11:06:16.500,314
avj,11:06:20.800,299
avj,11:06:25.133,299
avj,11:06:29.033,333
avj,11:06:31.566,599
avj,11:06:35.399,353
avj,11:06:39.916,283
avj,11:06:44.032,311
avj,11:06:47.465,299
avj,11:06:51.265,299
avj,11:06:56.048,282
avj,11:07:00.747,316
avj,11:07:03.080,582
avj,11:07:07.263,366
avj,11:07:09.697,332
avj,11:07:12.630,333
avj,11:07:15.980,283
avj,11:07:18.562,399
avj,11:07:21.346,0
avj,11:07:24.279,316
avj,11:07:28.412,516
avj,11:07:31.229,333
avj,11:07:34.395,331
avj,11:07:37.428,333
avj,11:07:41.078,297
avj,11:07:44.277,316
avj,11:07:46.577,349
avj,11:07:50.460,299
avj,11:07:53.960,333
avj,11:07:56.360,333
avj,11:07:58.543,383
avj,11:08:01.526,364
avj,11:08:04.310,349
avj,11:08:08.343,316
avj,11:08:11.859,366
avj,11:08:14.692,333
avj,11:08:17.625,332
avj,11:08:20.142,316
avj,11:08:24.708,349
avj,11:08:27.041,482
avj,11:08:30.074,316
avj,11:08:32.374,349
avj,11:08:35.874,316
avj,11:08:39.557,332
avj,11:08:42.857,299
avj,11:08:45.540,316
avj,11:08:47.673,316
avj,11:08:49.723,432
avj,11:08:54.073,316
avj,11:08:57.140,382
avj,11:09:00.622,333
avj,11:09:03.322,366
avj,11:09:05.389,341
avj,11:09:08.055,299
avj,11:09:11.172,0
avj,11:09:13.771,349
avj,11:09:17.771,349
avj,11:09:20.854,299
avj,11:09:23.071,316
avj,11:09:25.520,299
avj,11:09:28.454,334
avj,11:09:31.604,383
avj,11:09:34.453,299
avj,11:09:36.753,313
avj,11:09:41.719,353
avj,11:09:46.218,332
avj,11:09:49.969,349
avj,11:09:54.685,399
avj,11:09:57.968,349
avj,11:10:01.235,416
avj,11:10:04.101,330
avj,11:10:06.851,366
avj,11:10:10.784,317
avj,11:10:13.034,483
avj,11:10:17.950,399
avj,11:10:20.833,349
avj,11:10:25.616,333
avj,11:10:29.483,399
avj,11:10:32.599,316
avj,11:10:35.266,316
avj,11:10:38.282,332
avj,11:10:43.098,349
avj,11:10:46.065,449
avj,11:10:49.115,366
avj,11:10:53.881,532
avj,11:10:57.631,282
avj,11:11:02.230,349
avj,11:11:05.897,416
avj,11:11:10.813,333
avj,11:11:15.746,352
avj,11:11:19.596,364
avj,11:11:23.162,330
avj,11:11:27.462,316
avj,11:11:31.212,399
avj,11:11:33.761,349
avj,11:11:37.528,316
avj,11:11:40.344,466
avj,11:11:43.277,332
avj,Sex,
avj,Test Duration in seconds,420
avj,Number of False Positives,3
avj,Average response time ,346
avj,Fastest response time ,49
avj,Slowest response time ,982
avj,Count of response time over 500ms ,5
