Ruta relativa,Motivo
POST\CEIP_Martinez_Parras\6\EEG\MDA\Session01\RecordingS01R000_EDF\aacc.edf,Contiene userMarker_5 - 
POST\CEIP_Remigio_Lain\5\EEG\MCM\Session01\RecordingS01R000_EDF\aacc.edf,Contiene userMarker_5
POST\CEIP_Remigio_Lain\6\EEG\LILM\Session01\RecordingS01R000_EDF\aacc.edf,Contiene userMarker_5
POST\CEIP_Sagrado_Corazon_Jesus\6\EEG\TSF\Session01\RecordingS01R000_EDF\aacc.edf,Contiene userMarker_5
PRE\CEIP_Cristobal_Colon\5\EEG\HSR\Session01\RecordingS01R000_EDF\aacc.edf,Contiene userMarker_5
PRE\CEIP_Remigio_Lain\5\EEG\MCM\Session01\RecordingS01R000_EDF\aacc.edf,Contiene userMarker_5
PRE\CEIP_Remigio_Lain\6\EEG\MCF\Session01\RecordingS01R000_EDF\aacc.edf,Contiene userMarker_5
PRE\CEIP_Remigio_Lain\6\EEG\PRG\Session01\RecordingS01R000_EDF\aacc.edf,Contiene userMarker_5
PRE\CEIP_Simon_Abril\6\EEG\ALM\Session01\RecordingS01R000_EDF\aacc.edf,No hay t4 válido (ni 7 min ni userMarker_4)
PRE\CEIP_Simon_Abril\6\EEG\DCG\Session01\RecordingS01R000_EDF\aacc.edf,'userMarker_3' is not in list
PRE\CRA_Molinos_Jucar\6\EEG\IPC\Session01\RecordingS01R000_EDF\aacc.edf,Contiene userMarker_5
PRE\KAIZEN\4\EEG\AGUSTIN\Session01\RecordingS01R000_EDF\aacc.edf,Contiene userMarker_5
PRE\KAIZEN\4\EEG\GABRIEL\Session01\RecordingS01R000_EDF\aacc.edf,Contiene userMarker_5
PRE\KAIZEN\5\EEG\KAI\Session01\RecordingS01R000_EDF\aacc.edf,Contiene userMarker_5
